"Winner","B_current_win_streak","B_Reach_cms","R_losses","B_current_lose_streak","title_bout","R_win_by_Submission","R_win_by_Decision_Split","weight_class"
"Red",4,170.18,2,0,2,0,2,1
"Red",3,167.64,2,0,2,2,1,12
"Red",3,185.42,1,0,1,6,1,7
"Blue",4,170.18,2,0,1,0,1,1
"Blue",1,185.42,1,0,1,0,0,5
"Red",4,162.56,0,0,1,2,0,13
"Red",3,165.1,3,0,1,3,0,1
"Blue",0,167.64,4,1,1,0,2,13
"Blue",1,182.88,5,0,1,3,0,3
"Red",1,162.56,0,0,1,0,0,13
"Blue",0,187.96,1,1,1,0,0,8
"Red",0,172.72,7,0,1,0,1,1
"Red",2,165.1,2,0,1,0,1,12
"Blue",0,193.04,5,1,1,2,0,6
"Blue",3,198.12,5,0,1,0,0,6
"Red",1,172.72,1,0,1,1,1,3
"Blue",1,180.34,2,0,1,0,1,7
"Red",0,182.88,3,0,1,0,0,3
"Blue",0,187.96,0,0,1,0,0,9
"Blue",0,165.1,2,1,1,0,0,10
"Blue",4,190.5,3,0,1,0,1,7
"Blue",0,185.42,3,2,1,0,0,7
"Red",0,185.42,0,0,1,0,0,10
"Blue",0,190.5,0,1,1,0,0,6
"Red",0,187.96,1,0,1,0,0,7
"Red",0,195.58,9,1,1,3,0,9
"Blue",1,182.88,3,0,1,4,0,8
"Blue",0,172.72,1,0,1,0,0,11
"Red",0,182.88,2,0,1,3,0,9
"Red",2,172.72,9,0,1,13,0,7
"Red",0,180.34,1,0,1,3,0,7
"Red",2,170.18,0,0,1,0,0,10
"Red",0,175.26,3,0,1,0,1,7
"Blue",0,185.42,3,0,1,1,1,9
"Blue",1,182.88,0,0,1,0,2,3
"Blue",0,195.58,6,3,1,0,1,6
"Red",2,187.96,3,0,1,3,0,8
"Red",0,187.96,1,3,1,1,0,3
"Blue",3,157.48,2,0,2,3,0,13
"Red",0,195.58,4,1,1,0,0,8
"Blue",6,180.34,3,0,1,0,0,3
"Blue",1,180.34,10,0,1,1,1,9
"Red",0,162.56,2,2,1,0,1,10
"Blue",1,200.66,5,0,1,0,1,6
"Red",0,177.8,1,3,1,0,0,7
"Red",0,182.88,3,1,1,3,0,9
"Blue",0,177.8,14,1,1,4,0,7
"Red",0,165.1,0,2,1,0,0,12
"Red",0,170.18,0,0,1,1,0,1
"Blue",0,172.72,2,0,1,0,0,10
"Blue",2,185.42,3,0,1,0,1,7
"Red",3,190.5,5,0,1,1,0,8
"Blue",1,190.5,6,0,1,0,0,3
"Blue",1,172.72,0,0,1,0,0,1
"Red",0,198.12,7,0,1,0,0,5
"Blue",1,187.96,0,0,1,0,0,8
"Red",0,170.18,0,2,1,1,0,10
"Blue",0,177.8,1,1,1,0,0,1
"Red",0,177.8,4,0,1,0,1,9
"Blue",0,172.72,1,1,1,0,0,3
"Red",1,203.2,1,0,1,0,0,5
"Blue",0,170.18,3,0,1,3,0,1
"Blue",3,195.58,3,0,1,4,0,8
"Red",0,187.96,1,2,1,0,0,5
"Blue",0,180.34,5,1,1,3,0,9
"Red",2,190.5,5,0,1,4,0,6
"Blue",3,177.8,3,0,1,1,1,1
"Red",0,190.5,0,0,1,1,0,7
"Blue",0,185.42,8,0,1,3,1,9
"Blue",1,195.58,12,0,1,2,1,5
"Red",0,162.56,4,0,1,1,0,13
"Red",0,182.88,3,0,1,3,0,7
"Red",0,187.96,13,1,1,7,2,7
"Red",0,162.56,6,2,1,0,0,13
"Blue",1,187.96,6,0,1,2,1,9
"Red",2,203.2,6,0,1,0,0,5
"Red",0,182.88,1,0,1,2,0,7
"Red",0,190.5,1,2,1,0,0,5
"Red",1,170.18,3,0,1,0,0,12
"Red",0,187.96,4,0,1,0,1,8
"Red",0,187.96,0,0,1,0,0,3
"Red",1,185.42,2,0,1,0,1,9
"Red",0,185.42,4,0,1,0,0,7
"Blue",2,193.04,3,0,1,0,0,5
"Blue",1,187.96,1,0,1,2,0,6
"Red",0,180.34,1,0,1,0,0,7
"Blue",3,182.88,3,0,2,2,1,7
"Blue",5,203.2,4,0,2,2,3,8
"Blue",0,193.04,3,1,1,0,0,6
"Blue",1,193.04,4,0,1,0,0,9
"Blue",0,195.58,7,2,1,4,0,6
"Blue",0,180.34,1,2,1,0,0,7
"Blue",2,170.18,5,0,1,2,0,4
"Red",0,193.04,4,0,1,0,0,9
"Blue",0,175.26,0,1,1,0,0,1
"Blue",0,182.88,1,1,1,0,0,9
"Red",1,177.8,1,0,1,1,0,1
"Blue",0,170.18,1,1,1,0,0,12
"Red",0,185.42,3,0,1,0,0,1
"Blue",1,177.8,6,0,1,0,1,7
"Blue",2,195.58,4,0,1,0,1,8
"Red",2,185.42,2,0,1,0,1,3
