"k_value","avg_accuracy","pca_k_value","pca_avg_accuracy"
1,48.207171314741,1,47.9991146525011
2,50.6684373616645,2,51.186365648517
3,51.4121292607348,3,51.3457281983178
4,52.182381584772,4,51.2129260734838
5,53.1429836210713,5,51.2306330234617
6,52.2443559096946,6,52.6870296591412
7,52.9836210712705,7,52.7047366091191
8,53.6033643204958,8,53.7892872952634
9,53.3200531208499,9,52.9614873837981
10,54.639220894201,10,52.6870296591412
11,55.8432934926959,11,52.5542275343072
12,56.6046923417441,12,52.6427622841965
13,56.22399291722,13,52.7622841965471
14,56.0115095174856,14,52.5320938468349
15,56.7020805666224,15,53.9353696325808
16,56.9366976538291,16,54.2098273572377
17,57.1580345285524,17,54.2629482071713
18,56.1487383798141,18,53.5236830455954
19,56.8570163789287,19,52.2045152722444
20,56.9853917662683,20,52.3683045595396
21,56.9721115537849,21,53.1031429836211
22,57.4324922532094,22,53.0765825586543
23,57.087206728641,23,54.1212926073484
24,57.2332890659584,24,54.1567065073041
25,56.356795042054,25,53.2315183709606
26,56.7065073041169,26,53.3731739707835
27,56.5515714918105,27,53.4395750332005
28,56.8747233289066,28,53.7937140327579
29,56.9853917662683,29,53.7361664453298
30,56.8127490039841,30,53.2182381584772
31,56.5117308543603,31,53.8689685701638
32,56.1841522797698,32,53.178397521027
33,56.2416998671979,33,53.7184594953519
34,55.9274015050907,34,53.311199645861
35,55.8610004426738,35,53.2270916334661
36,55.8211598052236,36,53.9353696325808
37,55.967242142541,37,54.5861000442674
38,56.0779105799026,38,54.3913235945108
39,55.76803895529,39,54.506418769367
40,56.3745019920319,40,55.0110668437362
41,55.9274015050908,41,55.6706507304117
42,56.7729083665339,42,55.5422753430721
43,57.4546259406817,43,55.0774679061532
44,57.4015050907481,44,55.4316069057105
45,57.5874280655157,45,55.8964143426295
46,57.0340858787074,46,55.4891544931386
47,56.821602478973,47,54.8251438689686
48,57.0650730411687,48,55.3430721558212
49,57.3085436033643,49,55.5245683930943
50,57.4059318282426,50,54.8561310314298
51,57.6139884904825,51,54.9756529437804
52,57.6007082779991,52,54.962372731297
53,57.9681274900398,53,55.2589641434263
54,59.012837538734,54,55.6795042054006
55,58.4639220894201,55,56.1044710048694
56,58.1673306772908,56,56.4364763169544
57,57.9681274900398,57,56.6046923417441
58,58.0389552899513,58,56.2726870296591
59,57.8220451527224,59,56.0867640548915
60,58.074369189907,60,56.3081009296149
61,58.5303231518371,61,56.6268260292165
62,58.5126162018592,62,56.4099158919876
63,58.5524568393094,63,56.2461266046923
64,58.0920761398849,64,56.3081009296149
65,58.3089862771138,65,56.4940239043825
66,58.1142098273572,66,56.4807436918991
67,58.0256750774679,67,56.5914121292607
68,58.282425852147,68,56.5914121292607
69,58.140770252324,69,56.5914121292607
70,58.2514386896857,70,57.0163789287295
71,58.3001328021248,71,56.6401062416999
72,58.4772023019035,72,56.6046923417441
73,58.7826471890217,73,56.5869853917663
74,58.5347498893316,74,56.6799468791501
75,58.2647189021691,75,56.4409030544489
76,58.5258964143426,76,56.3036741921204
77,58.4860557768924,77,56.2416998671979
78,58.5834440017707,78,56.4807436918991
79,58.2957060646304,79,56.3612217795485
80,58.3886675520142,80,56.3081009296149
81,58.481629039398,81,57.0517928286853
82,58.5701637892873,82,56.356795042054
83,58.7118193891102,83,56.5338645418327
84,58.3355467020806,84,56.2195661797255
85,58.4550686144312,85,56.3523683045595
86,58.4904825143869,86,56.5692784417884
87,58.0345285524568,87,56.6666666666667
88,57.950420540062,88,56.1930057547587
89,57.6361221779548,89,56.0070827799911
90,57.8264718902169,90,56.0159362549801
91,57.4501992031872,91,56.2815405046481
92,57.2908366533864,92,56.6622399291722
93,57.2244355909694,93,56.8437361664453
94,57.5298804780876,94,56.8924302788845
95,57.6272687029659,95,56.4940239043825
96,57.2908366533864,96,56.3700752545374
97,57.3616644532979,97,56.2195661797255
98,57.6316954404604,98,56.2992474546259
99,57.5210270030987,99,56.3877822045153
100,57.211155378486,100,56.8835768038955
