"date","Winner","title_bout","weight_class","B_fighter","B_Height_cms","B_Reach_cms","B_age","B_current_lose_streak","B_current_win_streak","B_longest_win_streak","B_losses","B_wins","B_total_rounds_fought","B_total_title_bouts","B_win_by_KO.TKO","B_win_by_Submission","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_TKO_Doctor_Stoppage","R_fighter","R_Height_cms","R_Reach_cms","R_age","R_current_lose_streak","R_current_win_streak","R_longest_win_streak","R_losses","R_wins","R_total_rounds_fought","R_total_title_bouts","R_win_by_KO.TKO","R_win_by_Submission","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_TKO_Doctor_Stoppage"
"2019-06-08","Red","True","Bantamweight","Marlon Moraes",167.64,170.18,31,0,4,4,1,4,9,0,2,1,0,1,0,0,"Henry Cejudo",162.56,162.56,32,0,4,4,2,8,27,3,2,0,0,2,4,0
"2019-06-08","Red","True","Women's Flyweight","Jessica Eye",167.64,167.64,32,0,3,3,6,4,29,0,0,0,0,2,1,1,"Valentina Shevchenko",165.1,167.64,31,0,2,2,2,5,25,2,0,2,0,1,2,0
"2019-06-08","Red","False","Lightweight","Donald Cerrone",185.42,185.42,36,0,3,8,8,23,68,1,10,6,0,0,7,0,"Tony Ferguson",180.34,193.04,35,0,11,11,1,14,33,2,3,6,0,1,3,1
"2019-06-08","Blue","False","Bantamweight","Petr Yan",170.18,170.18,26,0,4,4,0,4,9,0,2,0,0,0,2,0,"Jimmie Rivera",162.56,172.72,29,1,0,5,2,6,20,0,1,0,0,1,4,0
"2019-06-08","Blue","False","Heavyweight","Blagoy Ivanov",180.34,185.42,32,0,1,1,1,1,8,0,0,0,0,0,1,0,"Tai Tuivasa",187.96,190.5,26,1,0,3,1,3,7,0,2,0,0,0,1,0
"2019-06-08","Red","False","Women's Strawweight","Nina Ansaroff",165.1,162.56,33,0,4,4,2,4,18,0,0,1,0,0,3,0,"Tatiana Suarez",165.1,167.64,28,0,4,4,0,4,8,1,1,2,0,0,1,0
"2019-06-08","Red","False","Bantamweight","Pedro Munhoz",167.64,165.1,32,0,3,4,4,8,23,0,3,3,0,0,2,0,"Aljamain Sterling",170.18,180.34,29,0,3,4,3,9,32,0,1,3,0,0,5,0
"2019-06-08","Blue","False","Women's Strawweight","Alexa Grasso",165.1,167.64,25,1,0,1,2,2,10,0,0,0,0,1,1,0,"Karolina Kowalkiewicz",160.02,162.56,33,2,0,3,4,5,25,1,0,0,0,2,3,0
"2019-06-08","Blue","False","Featherweight","Calvin Kattar",180.34,182.88,31,0,1,2,1,3,10,0,2,0,0,0,1,0,"Ricardo Lamas",172.72,180.34,37,0,1,4,5,10,34,1,4,3,0,0,3,0
"2019-06-08","Red","False","Women's Strawweight","Angela Hill",160.02,162.56,34,0,1,1,6,4,26,0,0,0,0,0,4,0,"Yan Xiaonan",165.1,160.02,29,0,3,3,0,3,9,0,0,0,0,0,3,0
"2019-06-08","Blue","False","Middleweight","Darren Stewart",182.88,187.96,28,1,0,2,5,2,14,0,2,0,0,0,0,0,"Bevon Lewis",190.5,200.66,28,1,0,0,1,0,3,0,0,0,0,0,0,0
"2019-06-08","Red","False","Bantamweight","Grigorii Popov",170.18,172.72,35,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eddie Wineland",170.18,175.26,34,2,0,2,7,5,29,1,4,0,0,1,0,0
"2019-06-08","Red","False","Women's Flyweight","Joanne Calderwood",167.64,165.1,33,0,2,2,3,5,18,0,1,1,0,0,3,0,"Katlyn Chookagian",175.26,172.72,30,1,0,3,2,4,18,0,0,0,0,1,3,0
"2019-06-01","Blue","False","Light Heavyweight","Anthony Smith",193.04,193.04,30,1,0,3,4,7,27,1,5,1,0,0,1,0,"Alexander Gustafsson",195.58,200.66,32,1,0,6,5,10,38,3,5,2,0,0,3,0
